OID_,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID,AREA_SQM,FEAT_LEN,Shape_Length,Shape_Area
91,G41588,2023121801.000000000000000,2023,Lightning,2023-G41588,10.699999999999999,2023 ROLLOVER,20231218,20231218,20230711,Hand sketch of any type,JA70003000,0.000000000000000,2703334.000000000000000,107112.018100000001141,1681.758499999999913,1681.758511194168932,107112.018107895448338
92,G41593,2023071301.000000000000000,2023,Lightning,2023-G41593,29.399999999999999,2023 ROLLOVER,20230713,20230801,20230712,Processed IR image,JA70003000,0.000000000000000,2703335.000000000000000,293819.304500000027474,2719.828100000000177,2719.828071427167288,293819.304513944021892
93,G41606,2023072301.000000000000000,2023,Lightning,2023-G41606,56.799999999999997,2023 ROLLOVER,20230723,20230723,20230712,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703336.000000000000000,568088.272400000016205,3810.792899999999918,3810.792906160768325,568088.272377915331163
94,G41682,2023072701.000000000000000,2023,Lightning,2023-G41682,2.300000000000000,2023 ROLLOVER,20230727,20230727,20230714,Non-corrected ground GPS,JA70003000,0.000000000000000,2703337.000000000000000,23240.789799999998650,608.437000000000012,608.437048738080080,23240.789769409315340
95,R21673,2023091001.000000000000000,2023,Lightning,2023-R21673,4369.300000000000182,2023 ROLLOVER,20230910,20230917,20230709,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703727.000000000000000,43692542.016800001263618,48293.514999999999418,48293.514958956206101,43692542.016827978193760
96,R22794,2023082301.000000000000000,2023,Lightning,2023-R22794,4.200000000000000,2023 ROLLOVER,20230823,20231117,20230817,Non-corrected ground GPS,JA70003000,0.000000000000000,2703729.000000000000000,41662.972000000001572,1789.502999999999929,1789.502961767245552,41662.972002336558944
97,R23091,2023092101.000000000000000,2023,Lightning,2023-R23091,1255.500000000000000,2023 ROLLOVER,20230921,20230921,20230721,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703731.000000000000000,12554720.952099999412894,19315.646100000001752,19315.646137966938113,12554720.952108358964324
98,VA1381,2023090201.000000000000000,2023,Lightning,2023-VA1381,40580.300000000002910,2023 ROLLOVER,20230902,20230902,20230707,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703848.000000000000000,405802678.731100022792816,121694.732999999992899,75198.966139943557209,126171831.473085731267929
99,G52955,2023091101.000000000000000,2023,Lightning,2023-G52955,1590.599999999999909,2023 ROLLOVER,20230911,20230912,20230826,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703365.000000000000000,15906457.922100000083447,29138.692800000000716,29138.692752020218904,15906457.922089844942093
100,G52996,2024012501.000000000000000,2023,Lightning,2023-G52996,1.000000000000000,2023 ROLLOVER,20240125,20240125,20230825,Hand sketch of any type,JA70003000,0.000000000000000,2703366.000000000000000,10090.833300000000236,429.500999999999976,429.501015280702575,10090.833301793189094
